smiles,A,B,r2,n_pts,T_min,T_max,is_hc,eta_300,d_eta_dA_300,d_eta_dB_300,rel_sens_A,impact_1pct_A,impact_1pct_B_300,eta_5pct_err
CCCCCCCCCCCCCCCCC,-11.639370719348898,1777.6508124949753,0.9986457582157507,16,303.15,500.0,True,0.0032998838403198367,0.0032998838403198367,1.0999612801066123e-05,11.639370719348898,0.11639370719348899,0.059255027083165844,140.66690905341548
CCCCCCCCCCCCCCCCCC,-11.855417933699387,1904.2405174172766,0.9925891159283748,128,299.75,500.0,True,0.004054412266723288,0.004054412266723288,1.3514707555744292e-05,11.855417933699387,0.11855417933699387,0.06347468391390923,148.46810873798086
CCCCCCCCCCCCCCCCCC(=O)OC,-12.227360130003632,2164.9430160528004,0.9994411711598019,11,313.15,363.15,False,0.006665012766978587,0.006665012766978587,2.2216709223261955e-05,12.227360130003632,0.12227360130003632,0.07216476720176002,164.373275936017
CCCCCCCCCCCCCCCCCC(=O)OCC,-11.715583123411454,2000.678093638097,0.9992344814280186,18,313.15,500.0,False,0.006430801202930589,0.006430801202930589,2.1436004009768628e-05,11.715583123411454,0.11715583123411455,0.06668926978793657,150.73477097474535
CCCCCCCCCCCCCCCCCCC,-11.571820137023886,1839.2550618185696,0.9999172916552825,7,333.33,500.0,True,0.004335276312115106,0.004335276312115106,1.4450921040383688e-05,11.571820137023886,0.11571820137023886,0.061308502060619,142.3307923064417
CCCCCCCCCCCCCCCCCCCC,-11.613029986528002,1895.1520797928627,0.9998515459987001,7,333.33,500.0,True,0.005012320050124285,0.005012320050124285,1.670773350041428e-05,11.613029986528002,0.11613029986528002,0.06317173599309542,145.10344974449785
CCCCCCCCCCCCCCCCCCCCCCCCCCCC,-11.198172695471243,1943.3074322998655,0.9989723426704583,5,398.15,498.15,True,0.008910889111135419,0.008910889111135419,2.970296370378473e-05,11.198172695471243,0.11198172695471242,0.06477691440999553,142.0062114102093
CCCCCCCCCCCCCCCCCCCc1ccccc1,-10.396696260515865,1162.7102255779714,0.9999999293310574,7,333.33,500.0,True,0.0014722027820931296,0.0014722027820931296,4.9073426069770984e-06,10.396696260515865,0.10396696260515866,0.03875700751926572,104.13673452813855
CCCCCCCCCCCCCCCCOC(C)=O,-12.200012253488765,2142.941656310792,0.9966882459070874,9,277.78,500.0,False,0.006365430593150495,0.006365430593150495,2.1218101977168317e-05,12.200012253488765,0.12200012253488765,0.07143138854369308,163.0456894886775
CCCCCCCCCCCCO,-15.725775024011298,3470.5307091487166,0.9997073242553204,5,298.15,338.15,False,0.015649139823691528,0.015649139823691528,5.216379941230509e-05,15.725775024011298,0.157257750240113,0.11568435697162388,291.4589755397153
CCCCCCCCCCCCc1ccccc1,-12.166533760551646,2028.8461500823735,0.9979726032047551,9,293.15,373.15,True,0.004499840801495661,0.004499840801495661,1.499946933831887e-05,12.166533760551646,0.12166533760551647,0.06762820500274579,157.659230284678
CCCCCCCCCCCO,-14.114746321680327,2908.579440604422,0.9957589371616218,16,293.15,500.0,False,0.012040473415315094,0.012040473415315094,4.013491138438365e-05,14.114746321680327,0.14114746321680327,0.0969526480201474,228.8726988079751
CCCCCCCCCCO,-14.26920260354561,2901.204019459648,0.9913364887473411,33,283.15,500.0,False,0.010066697919580864,0.010066697919580864,3.3555659731936216e-05,14.26920260354561,0.1426920260354561,0.09670680064865493,231.0152078238057
CCCCCCCCCCS,-11.550022741430576,1514.4492841211513,0.9999997265371491,10,250.0,500.0,False,0.001500647704571013,0.001500647704571013,5.00215901523671e-06,11.550022741430576,0.11550022741430577,0.05048164280403838,129.3110862846115
CCCCCCCCP(CCCCCCCC)CCCCCCCC,-13.7051782544485,3141.802947022964,0.9773772432770421,8,305.56,500.0,False,0.03945865893584891,0.03945865893584891,0.00013152886311949637,13.7051782544485,0.137051782544485,0.10472676490076548,234.97735188102033
CCCCCCCCc1ccccc1,-11.655577822612722,1661.3513213175756,0.9987919696585046,9,293.15,373.15,True,0.0022034299051241664,0.0022034299051241664,7.344766350413888e-06,11.655577822612722,0.11655577822612723,0.05537837737725253,136.23828173098542
CCCCCCCI,-17.749684852280684,1207.7672231032589,0.998839539206928,21,296.35,423.15,False,1.096053991205299e-06,1.096053991205299e-06,3.6535133040176633e-09,17.749684852280684,0.17749684852280684,0.04025890743677529,197.06440459611528
CCCCCCCNCCCCCCC,-11.679618291579402,1735.1094190005292,0.9984463580363957,8,305.56,500.0,False,0.002750643957798114,0.002750643957798114,9.16881319266038e-06,11.679618291579402,0.11679618291579402,0.05783698063335097,139.44793521842973
CCCCCCI,-17.639060507353463,1104.265546860614,0.9992616021651617,17,297.25,423.15,False,8.670446594657035e-07,8.670446594657035e-07,2.8901488648856785e-09,17.639060507353463,0.17639060507353463,0.03680885156202047,190.37333850086645
CCCCCCN(CCCCCC)CCCCCC,-11.654272896439767,1776.3093332340097,0.9988690902925568,7,333.33,500.0,False,0.003236567948826627,0.003236567948826627,1.078855982942209e-05,11.654272896439767,0.11654272896439767,0.059210311107800326,140.79245655594858
CCCCNc1ccccc1,-9.564875985810454,685.0659244911722,0.9999997920426498,9,277.78,500.0,False,0.0006882744400319898,0.0006882744400319898,2.294248133439966e-06,9.564875985810454,0.09564875985810455,0.022835530816372403,80.83619822872011
CCCCOB(OCCCC)OCCCC,-11.446260249639456,1503.9785400311212,0.999845170591722,10,250.0,500.0,False,0.0016076232233218407,0.0016076232233218407,5.358744077739469e-06,11.446260249639456,0.11446260249639456,0.050132618001037375,127.72671428481313
CCCCOCC,-11.26311856905597,1023.7681302075927,0.9894057932142393,7,283.15,313.15,False,0.000389534494721447,0.000389534494721447,1.2984483157381566e-06,11.26311856905597,0.11263118569055972,0.03412560434025309,108.29474838061289
CCCCOCCO,-13.272881556116571,2210.2294052253674,0.9979719607300865,14,283.15,353.15,False,0.002724554895347726,0.002724554895347726,9.081849651159088e-06,13.272881556116571,0.13272881556116572,0.07367431350751225,180.67174839520956
CCCCOP(=O)(OCCCC)OCCCC,-11.931565415579847,1875.4691575575512,0.9902456708914801,19,250.0,500.0,False,0.0034135531283024313,0.0034135531283024313,1.137851042767477e-05,11.931565415579847,0.11931565415579848,0.0625156385852517,148.22278007757455
CCCOP(=O)(OCCC)OCCC,-10.098255154776961,863.1850126097992,0.9999999267530439,10,250.0,500.0,False,0.0007310916137857269,0.0007310916137857269,2.436972045952423e-06,10.098255154776961,0.10098255154776961,0.028772833753659976,91.31994139546813
CCCS(=O)(=O)CCC,-12.092100247610423,2043.3863359508946,0.994548738178564,8,305.56,500.0,False,0.005088295071021792,0.005088295071021792,1.696098357007264e-05,12.092100247610423,0.12092100247610424,0.06811287786502983,157.32492544810458
CCC[CH2][Ge]([CH2]CCC)([CH2]CCC)[CH2]CCC,-12.389983201195383,1989.6200867494508,0.9890782058015313,10,250.0,500.0,False,0.0031576845877167204,0.0031576845877167204,1.0525615292389067e-05,12.389983201195383,0.12389983201195383,0.06632066955831503,158.85619965897354
CCCc1ccc(N)cc1,-11.443694778774166,1555.0318318289844,0.9999912811895186,5,388.89,500.0,False,0.0019107578426838586,0.0019107578426838586,6.369192808946195e-06,11.443694778774166,0.11443694778774166,0.05183439439429948,129.64322223896855
CCN,-10.490904333128192,-376.4661855444574,0.9971468310595759,8,305.56,500.0,False,7.922596077571552e-06,7.922596077571552e-06,2.640865359190517e-08,10.490904333128192,0.10490904333128193,0.012548872851481914,79.91054711674612
CCN(CC)CCO,-15.29864991800641,2915.0507247589853,0.9986658858376205,5,293.15,333.15,False,0.0037657276524924012,0.0037657276524924012,1.2552425508308004e-05,15.29864991800641,0.1529864991800641,0.09716835749196617,249.30465184611035
CCN(CC)c1cccc(C)c1,-11.387116546739414,1537.152953111116,0.9999968020541303,5,388.89,500.0,False,0.001904999810835629,0.001904999810835629,6.349999369452097e-06,11.387116546739414,0.11387116546739413,0.05123843177037053,128.3131547147527
CCOC(=O)CC(C)=O,-11.694571312928552,1560.3864728357769,0.9942710053033639,9,288.15,358.15,False,0.0015135716800885135,0.0015135716800885135,5.045238933628378e-06,11.694571312928552,0.11694571312928552,0.05201288242785923,132.74959213312997
CCOC(=O)CC(C)C,-11.387142723107738,1247.5727147640803,0.9986107180704926,14,288.15,358.15,False,0.0007255598405560565,0.0007255598405560565,2.4185328018535217e-06,11.387142723107738,0.11387142723107738,0.04158575715880268,117.55596068424543
CCOC(=O)CCC(=O)OCC,-12.508527720624253,1941.8522750253478,0.994791615174361,8,288.15,323.15,False,0.0023918532290404656,0.0023918532290404656,7.972844096801552e-06,12.508527720624253,0.12508527720624252,0.0647284091675116,158.33020162165252
CCOC(=O)CCl,-11.821294136862486,1491.450369374266,0.9773976712448335,5,298.15,318.15,False,0.00105967512295342,0.00105967512295342,3.5322504098447333e-06,11.821294136862486,0.11821294136862485,0.04971501231247554,131.55326984873247
CCOC(=O)c1ccccc1O,-12.370546261530412,1939.8370663912128,0.9973125745068403,8,288.15,358.15,False,0.0027273558100617957,0.0027273558100617957,9.091186033539319e-06,12.370546261530412,0.12370546261530413,0.06466123554637376,156.46794262905323
CCOC(C)C,-10.537835358428271,-406.7051581653884,0.9990326235555632,5,388.89,500.0,False,6.834554842805079e-06,6.834554842805079e-06,2.278184947601693e-08,10.537835358428271,0.10537835358428271,0.013556838605512949,81.24435473083065
CCOCCO,-12.43216239480201,1823.1831073249757,0.9973105485013336,18,288.15,373.15,False,0.001738234440298109,0.001738234440298109,5.794114800993696e-06,12.43216239480201,0.1243216239480201,0.06077277024416586,152.3058789869908
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,-16.77554105401954,4367.798970197891,0.9758727313399937,36,253.15,373.15,False,0.10902139262885914,0.10902139262885914,0.0003634046420961971,16.77554105401954,0.1677554105401954,0.1455932990065964,379.10210317359383
