compound_name,formula,has_viscosity,viscosity_points,has_surface_tension,surface_tension_points,dataset_ids
4-methyl-4-octylmorpholin-4-ium octylphosphonate,C21H46NO4P,True,13,False,0,EGMZQ
4-methyl-4-octylmorpholinium N-cyanocyanamide,C15H28N4O,True,8,False,0,RDUwt;TIsTD
4-methyl-4-pentylmorpholinium N-cyanocyanamide,C12H22N4O,True,8,False,0,oDrYL;LzGwJ
4-methyl-4-propylmorpholinium N-cyanocyanamide,C10H18N4O,True,8,False,0,ekIqT;dWcFk
L-phenylalanine benzyl ester bis(perfluoroethylsulfonyl)imide,C20H18F10N2O6S2,True,1,False,0,rSBQC
L-phenylalanine benzyl ester bis(trifluoromethylsulfonyl)amide,C18H18F6N2O6S2,True,1,False,0,DPYWz
L-phenylalanine ethyl ester bis(perfluoroethylsulfonyl)imide,C15H16F10N2O6S2,True,1,False,0,dnGyh
L-phenylalanine methyl ester bis(perfluoroethylsulfonyl)imide,C14H14F10N2O6S2,True,1,False,0,aJKpQ
L-phenylalanine tert-butyl ester bis(perfluoroethylsulfonyl)imide,C17H20F10N2O6S2,True,1,False,0,GclTO
L-phenylalanine tert-butyl ester bis(trifluoromethylsulfonyl)amide,C15H20F6N2O6S2,True,1,False,0,GPOcl
"N(1)-(2-ethoxyethyl)-N(1),N(1),N(3),N(3)-tetramethyl-N(3)-(3-phenylpropyl)propane-1,3-diaminium bis((trifluoromethyl)sulfonyl)amide",C24H38F12N4O9S4,True,7,False,0,Mycni
"N(1)-(2-ethoxyethyl)-N(1),N(1),N(3),N(3)-tetramethyl-N(3)-pentylpropane-1,3-diaminium bis((trifluoromethyl)sulfonyl)amide",C20H38F12N4O9S4,True,7,False,0,nKKfV
"N(1)-(2-ethoxyethyl)-N(3)-(2-(2-methoxyethoxy)ethyl)-N(1),N(1),N(3),N(3)-tetramethylpropane-1,3-diaminium bis((trifluoromethyl)sulfonyl)amide",C20H38F12N4O11S4,True,7,False,0,mwECV
"N(1)-allyl-N(3)-(2-ethoxyethyl)-N(1),N(1),N(3),N(3)-tetramethylpropane-1,3-diaminium bis((trifluoromethyl)sulfonyl)amide",C18H32F12N4O9S4,True,7,False,0,OltcP
"N,N,N',N'-tetramethylguanidine 2,2,2-trifluoroacetate",C7H14F3N3O2,True,1,False,0,VLOPu
"N,N,N-Trimethyl-1-decanaminium bis[(trifluoromethyl)sulfonyl]imide",C15H30F6N2O4S2,False,0,True,10,ZUGbv
"N,N,N-tributyloctan-1-aminium trifluoromethanesulfonate",C21H44F3NO3S,True,1,False,0,QxEXj
"N,N,N-triethyl-1-decanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C18H36F6N2O4S2,True,32,True,16,NqYxf;xWZjO;rDeTs
"N,N,N-triethyl-2-methoxyethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C11H22F6N2O5S2,True,1,False,0,dcCxT
"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluorobutyl)borate",C13H22BF12NO,True,1,False,0,HJBOu
"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoroethyl)borate",C11H22BF8NO,True,1,False,0,RealY
"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoropropyl)borate Chemical Formula: C12H22BF10NO",C12H22BF10NO,True,1,False,0,Llhag
"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(trifluoromethyl)borate",C10H22BF6NO,True,1,False,0,QbASm
"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C20H40F6N2O4S2,True,32,True,16,DuYBs;cirPD;RmfUh
"N,N,N-triethyloctanaminium bis(fluorosulfonyl)amide",C14H32F2N2O4S2,True,13,True,10,nmJlQ;fvtrX
"N,N,N-triethyltetradecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C22H44F6N2O4S2,True,16,False,0,ECYiM
"N,N,N-trimethyl-2-(decanoyloxy)ethanaminium L-lactate",C18H37NO5,True,2,False,0,HypZM
"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",C8H16F6N2O4S2,True,34,False,0,qrGdv;tMqXl;drzIn
"N,N,N-trioctyl-N-methylammonium dicyanamide",C27H54N4,False,0,True,1,WMoJN
"N,N-dibutyl-N-methyl-1-butanaminium 2-aminoethanesulfonate",C15H36N2O3S,True,8,False,0,ljYlW
