CAS,name,InChI,T_K,P_kPa,surface_tension_Nm
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",298.15,,0.02389
,"1,2-hexanediol","InChI=1S/C6H14O2/c1-2-3-4-6(8)5-7/h6-8H,2-5H2,1H3",283.15,,0.0247
,"1,2-hexanediol","InChI=1S/C6H14O2/c1-2-3-4-6(8)5-7/h6-8H,2-5H2,1H3",288.15,,0.0244
,"1,2-hexanediol","InChI=1S/C6H14O2/c1-2-3-4-6(8)5-7/h6-8H,2-5H2,1H3",293.15,,0.0241
,"1,2-hexanediol","InChI=1S/C6H14O2/c1-2-3-4-6(8)5-7/h6-8H,2-5H2,1H3",298.15,,0.0238
,"1,2-hexanediol","InChI=1S/C6H14O2/c1-2-3-4-6(8)5-7/h6-8H,2-5H2,1H3",303.15,,0.0236
,"1,2-hexanediol","InChI=1S/C6H14O2/c1-2-3-4-6(8)5-7/h6-8H,2-5H2,1H3",308.15,,0.0233
,"1,5-hexanediol","InChI=1S/C6H14O2/c1-6(8)4-2-3-5-7/h6-8H,2-5H2,1H3",283.15,,0.0346
,"1,5-hexanediol","InChI=1S/C6H14O2/c1-6(8)4-2-3-5-7/h6-8H,2-5H2,1H3",288.15,,0.0343
,"1,5-hexanediol","InChI=1S/C6H14O2/c1-6(8)4-2-3-5-7/h6-8H,2-5H2,1H3",293.15,,0.0341
,"1,5-hexanediol","InChI=1S/C6H14O2/c1-6(8)4-2-3-5-7/h6-8H,2-5H2,1H3",298.15,,0.0339
,"1,5-hexanediol","InChI=1S/C6H14O2/c1-6(8)4-2-3-5-7/h6-8H,2-5H2,1H3",303.15,,0.0337
,"1,5-hexanediol","InChI=1S/C6H14O2/c1-6(8)4-2-3-5-7/h6-8H,2-5H2,1H3",308.15,,0.0335
,"2,5-hexanediol","InChI=1S/C6H14O2/c1-5(7)3-4-6(2)8/h5-8H,3-4H2,1-2H3",283.15,,0.0323
,"2,5-hexanediol","InChI=1S/C6H14O2/c1-5(7)3-4-6(2)8/h5-8H,3-4H2,1-2H3",288.15,,0.032
,"2,5-hexanediol","InChI=1S/C6H14O2/c1-5(7)3-4-6(2)8/h5-8H,3-4H2,1-2H3",293.15,,0.0319
,"2,5-hexanediol","InChI=1S/C6H14O2/c1-5(7)3-4-6(2)8/h5-8H,3-4H2,1-2H3",298.15,,0.0316
,"2,5-hexanediol","InChI=1S/C6H14O2/c1-5(7)3-4-6(2)8/h5-8H,3-4H2,1-2H3",303.15,,0.0313
,"2,5-hexanediol","InChI=1S/C6H14O2/c1-5(7)3-4-6(2)8/h5-8H,3-4H2,1-2H3",308.15,,0.031
,water,InChI=1S/H2O/h1H2,283.15,,0.0741
,water,InChI=1S/H2O/h1H2,288.15,,0.0734
,water,InChI=1S/H2O/h1H2,293.15,,0.0726
,water,InChI=1S/H2O/h1H2,298.15,,0.0718
,water,InChI=1S/H2O/h1H2,303.15,,0.071
,water,InChI=1S/H2O/h1H2,308.15,,0.0702
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",298,,0.0533
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",303,,0.0529
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",308,,0.0525
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",313,,0.0521
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",318,,0.0515
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",323,,0.0511
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",328,,0.0507
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",333,,0.0503
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",338,,0.0499
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",343,,0.0494
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",348,,0.049
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",353,,0.0486
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",358,,0.0482
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",363,,0.0478
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",368,,0.0474
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",373,,0.0471
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",378,,0.0467
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",383,,0.0463
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",388,,0.046
,1-butyl-3-methylimidazolium iodide,"InChI=1S/C8H15N2.HI/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",393,,0.0456
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",298,,0.0482
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",303,,0.0478
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",308,,0.0475
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",313,,0.0472
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",318,,0.0469
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",323,,0.0466
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",328,,0.0463
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",333,,0.046
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",338,,0.0456
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",343,,0.0453
