SMILES,method,T_K,surface_tension_Nm,Tc,Pc,Tb
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,300,0.053578258387031265,919.2788686326447,2058622.9953129266,725.48
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,350,0.04833955899617249,919.2788686326447,2058622.9953129266,725.48
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,400,0.04320223140007063,919.2788686326447,2058622.9953129266,725.48
CC(=O)OCCCC#CN(S(C)(=O)=O)Cc1n(C)c2c(cccc2)c1,joback,450,0.03817380879050273,919.2788686326447,2058622.9953129266,725.48
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,250,0.07144770728132835,1094.706124771242,2431443.0322623313,846.0700000000002
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,300,0.06631328294862289,1094.706124771242,2431443.0322623313,846.0700000000002
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,350,0.06125018716648097,1094.706124771242,2431443.0322623313,846.0700000000002
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,400,0.05626212245092097,1094.706124771242,2431443.0322623313,846.0700000000002
C([C@@]1([C@@]2([H])OC(=O)CC2)CC(=O)C2=CC=CC(Cl)=C2O1)(OC)=O,joback,450,0.05135326246997093,1094.706124771242,2431443.0322623313,846.0700000000002
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,250,0.10954511124505976,1255.047216577415,2537926.1336598797,1023.44
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,300,0.10292161062681501,1255.047216577415,2537926.1336598797,1023.44
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,350,0.09637475289067829,1255.047216577415,2537926.1336598797,1023.44
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,400,0.089907814394242,1255.047216577415,2537926.1336598797,1023.44
C(=O)(OCC)[C@@H](O)[C@H](O)[C@@H](C1CC1)N1C(=O)c2ccccc2C1=O,joback,450,0.08352441046083176,1255.047216577415,2537926.1336598797,1023.44
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,250,0.07614308786701922,1264.6327613846358,2309169.6433787677,981.46
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,300,0.07158244503477121,1264.6327613846358,2309169.6433787677,981.46
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,350,0.0670740532182023,1264.6327613846358,2309169.6433787677,981.46
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,400,0.06262012275061331,1264.6327613846358,2309169.6433787677,981.46
c1(-c2ccccc2)cc(-c2ccccc2)nc(Nc2ccc(F)cc2)n1,joback,450,0.058223090115161066,1264.6327613846358,2309169.6433787677,981.46
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,250,0.04469164673905553,1019.2033023369663,1792421.7840906077,772.1600000000001
