SMILES,method,T_K,viscosity_Pas,Tc,Pc,Tb
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,350,0.0013553967800826342,1428.6230411051788,1272781.3543640936,1166.9
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,400,0.0012548165602149336,1428.6230411051788,1272781.3543640936,1166.9
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,450,0.001158082351584569,1428.6230411051788,1272781.3543640936,1166.9
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,250,0.0016345654909911496,1165.5014926421236,2280587.0048503517,913.51
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,300,0.0014911687296892883,1165.5014926421236,2280587.0048503517,913.51
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,350,0.0013543039515469377,1165.5014926421236,2280587.0048503517,913.51
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,400,0.0012239711565640969,1165.5014926421236,2280587.0048503517,913.51
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,450,0.001100170344740767,1165.5014926421236,2280587.0048503517,913.51
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,250,0.0020080827968134668,1230.4331011243903,1841993.7740610428,997.1899999999998
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,300,0.0018414923715529114,1230.4331011243903,1841993.7740610428,997.1899999999998
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,350,0.0016820460490701843,1230.4331011243903,1841993.7740610428,997.1899999999998
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,400,0.0015297438293652849,1230.4331011243903,1841993.7740610428,997.1899999999998
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,450,0.0013845857124382135,1230.4331011243903,1841993.7740610428,997.1899999999998
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,250,0.0013253950541753804,1654.6644255258234,1031247.2027419625,1350.71
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,300,0.0012487579890681946,1654.6644255258234,1031247.2027419625,1350.71
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,350,0.0011743926523418917,1654.6644255258234,1031247.2027419625,1350.71
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,400,0.0011022990439964716,1654.6644255258234,1031247.2027419625,1350.71
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,450,0.0010324771640319345,1654.6644255258234,1031247.2027419625,1350.71
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,250,0.0011578120401555354,1033.8208290507184,1916936.8269634799,781.4099999999999
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,300,0.0010436530759760805,1033.8208290507184,1916936.8269634799,781.4099999999999
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,350,0.0009354078923717784,1033.8208290507184,1916936.8269634799,781.4099999999999
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,400,0.0008330764893426289,1033.8208290507184,1916936.8269634799,781.4099999999999
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,450,0.0007366588668886322,1033.8208290507184,1916936.8269634799,781.4099999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,250,0.0009071506593685393,941.4497970284477,1663255.8832687102,712.8399999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,300,0.0008075123601751193,941.4497970284477,1663255.8832687102,712.8399999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,350,0.0007136673699472627,941.4497970284477,1663255.8832687102,712.8399999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,400,0.0006256156886849695,941.4497970284477,1663255.8832687102,712.8399999999999
