name,CAS,ΔfusH (kJ/mol),Temperature (K),Reference,Comment,Method
Biphenyl,92-52-4,18.66,341.5,"Domalski and Hearing, 1996",AC,N/A
Biphenyl,92-52-4,18.575,343.,"Ueberreiter and Orthmann, 1950",DH,N/A
Biphenyl,92-52-4,18.594,342.,"Schmidt, 1941",DH,N/A
Biphenyl,92-52-4,18.945,314.3,"Eykman, 1889",DH,N/A
Indane,496-11-7,8.598,221.77,"Stull, Sinke, et al., 1959, 2",DH,
Indane,496-11-7,8.6,221.8,"Domalski and Hearing, 1996",AC,
Fluorene,86-73-7,19.1,387.7,"Lisicki and Jamróz, 2000",AC,DSC
Fluorene,86-73-7,19.58,387.9,"Domalski and Hearing, 1996",AC,N/A
Fluorene,86-73-7,19.870,387.0,"Eibert, 1944",DH,N/A
Acenaphthene,83-32-9,21.4622,366.56,"Finke, Messerly, et al., 1977, 2",DH,N/A
Acenaphthene,83-32-9,21.0,367.,"Sharma, Gupta, et al., 2008",AC,DSC
Acenaphthene,83-32-9,21.46,366.6,"Domalski and Hearing, 1996",AC,N/A
Acenaphthene,83-32-9,20.233,366.4,"Sadowska, Stepniewska, et al., 1969",DH,N/A
Acenaphthene,83-32-9,25.100,367.8,"Eibert, 1944",DH,N/A
Phenanthrene,85-01-8,15.720,373.81,"Sabbah and El Watik, 1992",DH,N/A
Phenanthrene,85-01-8,18.627,(373.),"Rai, Singh, et al., 1987",DH,N/A
Phenanthrene,85-01-8,18.000,373.2,"Rastogi and Bassi, 1964",DH,N/A
Phenanthrene,85-01-8,16.6,367.6,"Rojas and Orozco, 2003",Based on data from 353. to 383. K.;AC,DSC
Phenanthrene,85-01-8,16.2,372.9,"Lisicki and Jamróz, 2000",AC,DSC
Phenanthrene,85-01-8,16.46,372.4,"Domalski and Hearing, 1996",AC,N/A
Phenanthrene,85-01-8,17.150,371.4,"Eibert, 1944",DH,N/A
Phenanthrene,85-01-8,17.138,371.7,"Schmidt, 1941",DH,N/A
Anthracene,120-12-7,29.372,488.93,"Goursot, Girdhar, et al., 1970, 2",Note that table of smoothed values indicates Hm = 6485 J/mol and Sm = 251 J/mol*K.;DH,N/A
Anthracene,120-12-7,29.8,492.,"Rojas and Orozco, 2003",Based on data from 463. to 503. K.;AC,DSC
Anthracene,120-12-7,31.5,491.,"Storoniak, Krzyminski, et al., 2003",AC,DSC
Anthracene,120-12-7,28.8,489.4,"Lisicki and Jamróz, 2000",AC,DSC
Anthracene,120-12-7,29.37,488.9,"Domalski and Hearing, 1996",AC,N/A
Anthracene,120-12-7,28.830,490.,"Ueberreiter and Orthmann, 1950",DH,N/A
Anthracene,120-12-7,28.870,489.7,"Hildebrand, Duschak, et al., 1917",DH,N/A
Dodecylbenzene,123-01-3,43.1,274.6,"Mokbel, Ruzicka, et al., 2000",AC,DSC
1-Pentene,109-67-1,5.93739,108.016,"Messerly, Todd, et al., 1990, 2",DH,
1-Pentene,109-67-1,5.88168,107.797,"Messerly, Todd, et al., 1990, 2",c(metastable)/liq;DH,
