name,CAS,ΔvapS (J/mol*K),Temperature (K),Reference,Comment,ΔfusS (J/mol*K),"Cp,gas(J/mol*K)",ΔStrs(J/mol*K),Initial Phase,Final Phase,ΔsubS (J/mol*K)
Anthracene,120-12-7,,488.93,"Goursot, Girdhar, et al., 1970, 2",Note;DH,60.07,,,,,
Anthracene,120-12-7,,490.,"Ueberreiter and Orthmann, 1950",DH,58.0,,,,,
Anthracene,120-12-7,,489.7,"Hildebrand, Duschak, et al., 1917",DH,59.0,,,,,
Anthracene,120-12-7,,490.6,"Radomska and Radomski, 1980",DH,,,59.1,"crystaline, I",liquid,
Anthracene,120-12-7,,50.,"Dorofeeva O.V., 1988","S(T) values calculated by [Kudchadker S.A., 1979] are 3.6-4.1 J/mol*K greater than recommended ones. Cp(T) values from two calculations agree within 0.3 J/mol*K. Recommended values are also reproduced in the reference book [Frenkel M., 1994].;GT",,41.38,,,,
Anthracene,120-12-7,,100.,,,,61.44,,,,
Anthracene,120-12-7,,150.,,,,87.80,,,,
Anthracene,120-12-7,,200.,,,,118.55,,,,
Anthracene,120-12-7,,273.15,,,,167.75,,,,
Anthracene,120-12-7,,298.15,,,,184.7 ± 1.0,,,,
Anthracene,120-12-7,,300.,,,,185.99,,,,
Anthracene,120-12-7,,400.,,,,249.74,,,,
Anthracene,120-12-7,,500.,,,,302.90,,,,
Anthracene,120-12-7,,600.,,,,345.39,,,,
Anthracene,120-12-7,,700.,,,,379.33,,,,
Anthracene,120-12-7,,800.,,,,406.84,,,,
Anthracene,120-12-7,,900.,,,,429.48,,,,
Anthracene,120-12-7,,1000.,,,,448.32,,,,
Anthracene,120-12-7,,1100.,,,,464.17,,,,
Anthracene,120-12-7,,1200.,,,,477.58,,,,
Anthracene,120-12-7,,1300.,,,,489.01,,,,
Anthracene,120-12-7,,1400.,,,,498.80,,,,
Anthracene,120-12-7,,1500.,,,,507.22,,,,
1-Pentene,109-67-1,,108.016,"Messerly, Todd, et al., 1990, 2",DH,54.97,,,,,
1-Pentene,109-67-1,,107.797,"Messerly, Todd, et al., 1990, 2",c(metastable)/liq;DH,54.56,,,,,
1-Pentene,109-67-1,,107.90,"Chao, Hall, et al., 1983, 2",DH,53.82,,,,,
1-Pentene,109-67-1,,107.9,"Todd, Oliver, et al., 1947, 2",DH,53.82,,,,,
1-Pentene,109-67-1,,200.,"Thermodynamics Research Center, 1997","p=1 bar. Recommended values were calculated from data for lower alkenes by a method of increments. These values are in good agreement with experimental data. The results of the similar estimation [Kilpatrick J.E., 1946] are in poor agreement with experiment.;GT",,82.35,,,,
1-Pentene,109-67-1,,273.15,,,,101.2,,,,
1-Pentene,109-67-1,,298.15,,,,108.2,,,,
1-Pentene,109-67-1,,300.,,,,108.7,,,,
1-Pentene,109-67-1,,400.,,,,137.6,,,,
1-Pentene,109-67-1,,500.,,,,164.0,,,,
1-Pentene,109-67-1,,600.,,,,186.3,,,,
1-Pentene,109-67-1,,700.,,,,205.1,,,,
1-Pentene,109-67-1,,800.,,,,221.0,,,,
1-Pentene,109-67-1,,900.,,,,234.6,,,,
1-Pentene,109-67-1,,1000.,,,,246.2,,,,
1-Pentene,109-67-1,,1100.,,,,256.4,,,,
1-Pentene,109-67-1,,1200.,,,,265.1,,,,
1-Pentene,109-67-1,,1300.,,,,272.8,,,,
1-Pentene,109-67-1,,1400.,,,,279.2,,,,
1-Pentene,109-67-1,,1500.,,,,285.4,,,,
1-Pentene,109-67-1,,311.09,"Scott D.W., 1949",GT,,112.34 ± 0.33,,,,
1-Pentene,109-67-1,,357.51,,,,126.15 ± 0.38,,,,
1-Pentene,109-67-1,,402.32,,,,139.08 ± 0.42,,,,
1-Pentene,109-67-1,,436.01,,,,148.41 ± 0.45,,,,
1-Pentene,109-67-1,,471.08,,,,157.69 ± 0.47,,,,
1-Hexene,592-41-6,,133.39,"McCullough, Finke, et al., 1957, 2",DH,70.07,,,,,
1-Octene,111-66-0,,171.46,"McCullough, Finke, et al., 1957, 2",DH,89.31,,,,,
1-Decene,872-05-9,,198.3,"Domalski and Hearing, 1996",CAL,40.09,,,,,
1-Decene,872-05-9,,206.9,,,66.73,,,,,
1-Decene,872-05-9,,198.3,"McCullough, Finke, et al., 1957, 2",DH,,,40.09,"crystaline, II","crystaline, I",
1-Decene,872-05-9,,206.89,"McCullough, Finke, et al., 1957, 2",DH,,,66.74,"crystaline, I",liquid,
1-Dodecene,112-41-4,,212.9,"Domalski and Hearing, 1996",CAL,21.38,,,,,
1-Dodecene,112-41-4,,237.9,,,83.54,,,,,
1-Dodecene,112-41-4,,212.9,"McCullough, Finke, et al., 1957, 2",DH,,,21.38,"crystaline, II","crystaline, I",
1-Dodecene,112-41-4,,237.93,"McCullough, Finke, et al., 1957, 2",DH,,,83.67,"crystaline, I",liquid,
1-Hexadecene,629-73-2,,277.51,"McCullough, Finke, et al., 1957, 2",DH,108.80,,,,,
1-Hexadecene,629-73-2,,249.2,"Messerly, Todd, et al., 1990, 3",CAL,15.53,,,,,
1-Hexadecene,629-73-2,,277.5,,,108.86,,,,,
1-Hexadecene,629-73-2,,249.2,"Messerly, Todd, et al., 1990, 2",DH,,,15.53,"crystaline, II","crystaline, I",
1-Hexadecene,629-73-2,,277.396,"Messerly, Todd, et al., 1990, 2",DH,,,108.51,"crystaline, I",liquid,
Adamantane,281-23-2,,208.62,"Westrum, 1961",DH,,,161.8,"crystaline, II","crystaline, I",
Adamantane,281-23-2,,208.62,"Chang and Westrum, 1960",DH,,,16.18,"crystaline, II","crystaline, I",
Adamantane,281-23-2,,200.,"Boyd R.H., 1971",Selected values were obtained by force field calculation. One can expect the uncertainty in Cp(T) values to be about 10 J/mol*K if compare with the authors' results for bicyclo[2.2.1]heptane.;GT,,87.78,,,,
Adamantane,281-23-2,,298.15,,,,148.91,,,,
Adamantane,281-23-2,,300.,,,,150.12,,,,
Adamantane,281-23-2,,400.,,,,215.22,,,,
Adamantane,281-23-2,,500.,,,,274.22,,,,
Adamantane,281-23-2,,600.,,,,323.51,,,,
Adamantane,281-23-2,,800.,,,,398.99,,,,
Adamantane,281-23-2,,1000.,,,,452.58,,,,
Heptylcyclohexane,5617-41-4,,232.8,"Parks, Moore, et al., 1949, 2",DH,95.5,,,,,
