name,CAS,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Tc,639. ± 1.,K,AVG,N/A,Average of 11 values;Individual data points
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Pc,19.8 ± 0.4,bar,AVG,N/A,Average of 6 values;Individual data points
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Vc,0.689,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,ρc,1.5 ± 0.1,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Undecane,1120-21-4,ρc,1.77,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.04 mol/l;TRC
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,ΔvapH°,56.4 ± 0.2,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
n-Dodecane,112-40-3,Tboil,489. ± 2.,K,AVG,N/A,Average of 22 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,Tfus,263.5 ± 0.3,K,AVG,N/A,Average of 35 out of 45 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,Ttriple,263.57 ± 0.05,K,AVG,N/A,Average of 7 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,Tc,658.2 ± 0.9,K,AVG,N/A,Average of 10 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,Pc,18. ± 1.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Dodecane,112-40-3,Pc,18.10,bar,N/A,"Rosenthal and Teja, 1989",Uncertainty assigned by TRC =  0.20 bar;TRC
n-Dodecane,112-40-3,Pc,18.34,bar,N/A,"Teja, Lee, et al., 1989",TRC
n-Dodecane,112-40-3,Pc,18.60,bar,N/A,"Pak and Kay, 1972","Uncertainty assigned by TRC =  0.1378 bar; corrected for vapor pressure of Hg, and extrapolated to zero time to correct for decomposition;TRC"
n-Dodecane,112-40-3,Pc,18.24,bar,N/A,"Ambrose and Townsend, 1968",Uncertainty assigned by TRC =  0.10 bar;TRC
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,Vc,0.754,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,ρc,1.3 ± 0.1,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Dodecane,112-40-3,ρc,1.33,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.04 mol/l;TRC
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,ΔvapH°,61. ± 1.,kJ/mol,AVG,N/A,Average of 12 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,ΔsubH°,100.2,kJ/mol,B,"Morawetz, 1972",AC
n-Tridecane,629-50-5,Tboil,507. ± 2.,K,AVG,N/A,Average of 9 values;Individual data points
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,Tfus,268. ± 1.,K,AVG,N/A,Average of 19 out of 20 values;Individual data points
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,Ttriple,267.79 ± 0.01,K,AVG,N/A,Average of 6 values;Individual data points
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,Tc,676. ± 1.,K,AVG,N/A,Average of 10 values;Individual data points
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,Pc,17. ± 1.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Tridecane,629-50-5,Pc,16.79,bar,N/A,"Rosenthal and Teja, 1989",Uncertainty assigned by TRC =  0.20 bar;TRC
n-Tridecane,629-50-5,Pc,17.20,bar,N/A,"Teja, Lee, et al., 1989",TRC
n-Tridecane,629-50-5,Pc,17.25,bar,N/A,"Pak and Kay, 1972","Uncertainty assigned by TRC =  0.3447 bar; corrected for vapor pressure of Hg, and extrapolated to zero to correct for decomposition;TRC"
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,Vc,0.823,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,ρc,1.2 ± 0.1,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Tridecane,629-50-5,ρc,1.22,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.03 mol/l;TRC
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,ΔvapH°,66.43,kJ/mol,N/A,"Majer and Svoboda, 1985",
n-Tridecane,629-50-5,ΔvapH°,66.7,kJ/mol,N/A,"Ruzicka and Majer, 1994",AC
n-Tridecane,629-50-5,ΔvapH°,66.5 ± 0.2,kJ/mol,C,"Sunner and Svensson, 1979",AC
n-Tridecane,629-50-5,ΔvapH°,66.4 ± 0.3,kJ/mol,C,"Morawetz, 1972",AC
n-Tridecane,629-50-5,ΔvapH°,66.2,kJ/mol,N/A,"Reid, 1972",AC
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,ΔsubH°,91.4,kJ/mol,B,"Morawetz, 1972, 2",AC
n-Tetradecane,629-59-4,Tboil,523. ± 10.,K,AVG,N/A,Average of 9 values;Individual data points
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,Tfus,278.7 ± 0.9,K,AVG,N/A,Average of 31 out of 32 values;Individual data points
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,Ttriple,279.02,K,N/A,"Messerly, Guthrie, et al., 1967",Uncertainty assigned by TRC =  0.05 K;TRC
n-Tetradecane,629-59-4,Ttriple,279.020,K,N/A,"Finke, Gross, et al., 1954",Uncertainty assigned by TRC =  0.02 K;TRC
n-Tetradecane,629-59-4,Ttriple,279.020,K,N/A,"Waddington, 1950",Uncertainty assigned by TRC =  0.2 K;TRC
n-Tetradecane,629-59-4,Ttriple,279.010,K,N/A,"Waddington, 1950",Uncertainty assigned by TRC =  0.2 K;TRC
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,Tc,693. ± 3.,K,AVG,N/A,Average of 11 values;Individual data points
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,Pc,16. ± 2.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Tetradecane,629-59-4,Pc,15.73,bar,N/A,"Rosenthal and Teja, 1989",Uncertainty assigned by TRC =  0.20 bar;TRC
n-Tetradecane,629-59-4,Pc,14.40,bar,N/A,"Teja, Lee, et al., 1989",TRC
n-Tetradecane,629-59-4,Pc,14.38,bar,N/A,"Pak and Kay, 1972","Uncertainty assigned by TRC =  0.6894 bar; corrected for vapor pressure of HG, and extrapolated to zero to correct for decomposition;TRC"
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,Vc,0.894,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,ρc,1.1 ± 0.2,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Tetradecane,629-59-4,ρc,1.12,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.03 mol/l;TRC
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,ΔvapH°,71.6 ± 0.6,kJ/mol,AVG,N/A,Average of 10 values;Individual data points
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,ΔsubH°,117.6,kJ/mol,B,"Morawetz, 1972",AC
n-Pentadecane,629-62-9,Tboil,540. ± 20.,K,AVG,N/A,Average of 9 values;Individual data points
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,Tfus,283.0 ± 0.1,K,AVG,N/A,Average of 19 out of 24 values;Individual data points
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,Ttriple,283.10,K,N/A,"Messerly, Guthrie, et al., 1967",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.05 K;TRC
n-Pentadecane,629-62-9,Ttriple,283.10,K,N/A,"Finke, Gross, et al., 1954",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.02 K;TRC
n-Pentadecane,629-62-9,Ttriple,283.100,K,N/A,"Waddington, 1950",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.2 K;TRC
n-Pentadecane,629-62-9,Ttriple,283.090,K,N/A,"Waddington, 1950",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.2 K;TRC
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,Tc,708. ± 2.,K,AVG,N/A,Average of 10 values;Individual data points
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,Pc,15. ± 2.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Pentadecane,629-62-9,Pc,14.79,bar,N/A,"Rosenthal and Teja, 1989",Uncertainty assigned by TRC =  0.0002 bar;TRC
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,Vc,0.966,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,ρc,1.0 ± 0.2,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Pentadecane,629-62-9,ρc,1.04,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.003 mol/l;TRC
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,ΔvapH°,76.1 ± 0.8,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,ΔsubH°,107.8,kJ/mol,B,"Morawetz, 1972",AC
n-Hexadecane,544-76-3,Tboil,554. ± 10.,K,AVG,N/A,Average of 10 values;Individual data points
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,Tfus,291. ± 1.,K,AVG,N/A,Average of 52 out of 54 values;Individual data points
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,Ttriple,291.3 ± 0.1,K,AVG,N/A,Average of 9 values;Individual data points
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
