name,CAS,Quantity,Value,Units,Method,Reference,Comment
1-Octene,111-66-0,ΔfH°gas,-82.93,kJ/mol,Ccb,"Rockenfeller and Rossini, 1961",
1-Decene,872-05-9,ΔfH°gas,-124.6,kJ/mol,Chyd,"Bretschneider and Rogers, 1970",ALS
1-Decene,872-05-9,ΔfH°gas,-123.4,kJ/mol,N/A,"Rockenfeller and Rossini, 1961","Value computed using ΔfHliquid° value of -173.8±1.9 kj/mol fromRockenfeller and Rossini, 1961and ΔvapH° value of 50.44 kj/mol frommissing citation.;DRB"
1-Dodecene,112-41-4,ΔfH°gas,-165.4 ± 2.1,kJ/mol,Ccr,"Stridh, 1976",
1-Dodecene,112-41-4,ΔfH°gas,-165.2,kJ/mol,Chyd,"Bretschneider and Rogers, 1970",
1-Hexadecene,629-73-2,ΔfH°gas,-248.4 ± 2.5,kJ/mol,Ccr,"Stridh, 1976","Reanalyzed byPedley, Naylor, et al., 1986, Original value = -250.2 ± 3.0  kJ/mol;ALS"
1-Hexadecene,629-73-2,ΔfH°gas,-247.2 ± 2.6,kJ/mol,Ccb,"Loeffler and Rossini, 1960","Reanalyzed byCox and Pilcher, 1970, Original value = -243.3 ± 3.3  kJ/mol;ALS"
1-Hexadecene,629-73-2,ΔfH°gas,-249.3,kJ/mol,N/A,"Fraser and Prosen, 1955","Value computed using ΔfHliquid° value of -329.4±2.1 kj/mol fromFraser and Prosen, 1955and ΔvapH° value of 80.1 kj/mol fromLoeffler and Rossini, 1960.;DRB"
Adamantane,281-23-2,ΔfH°gas,-134.4 ± 2.3,kJ/mol,Ccb,"Clark, Knox, et al., 1979","Reanalyzed byPedley, Naylor, et al., 1986, Original value = -132.9 ± 1.3  kJ/mol; Gas flow technique for Hs, seeClark, Knox, et al., 1975;ALS"
Adamantane,281-23-2,ΔfH°gas,-138.7,kJ/mol,N/A,"Baroody and Carpenter, 1972","Value computed using ΔfHsolid° value of -193.8 kj/mol fromBaroody and Carpenter, 1972and ΔsubH° value of 55.1 kj/mol fromClark, Knox, et al., 1979.;DRB"
Adamantane,281-23-2,ΔfH°gas,-133.6 ± 2.5,kJ/mol,Ccb,"Boyd, Sanwal, et al., 1971","Reanalyzed byPedley, Naylor, et al., 1986, Original value = -128.2 ± 4.1  kJ/mol;ALS"
Adamantane,281-23-2,ΔfH°gas,-129. ± 4.,kJ/mol,Ccb,"Butler, Carson, et al., 1971",ALS
Adamantane,281-23-2,ΔfH°gas,-137.9 ± 0.79,kJ/mol,Ccr,"Mansson, Rapport, et al., 1970",ALS
Heptylcyclohexane,5617-41-4,ΔfH°gas,-275.0 ± 1.9,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",
Octylcyclohexane,1795-15-9,ΔfH°gas,-295.6 ± 2.1,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",
Nonylcyclohexane,2883-02-5,ΔfH°gas,-316.2 ± 2.3,kJ/mol,Ccb,"Prosen, Johnson, et al., 1946",
